;origin;destination;distance;mode;duration;walktime;transfers;route
0;"{""lat"": 48.726033, ""lon"": 2.425854, ""zipcode"": 94480, ""commune"": ""ABLON SUR SEINE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.70967, ""lon"": 2.352844, ""zipcode"": 77240, ""commune"": ""CESSON"", ""departement"": ""SEINE-ET-MARNE""}";5.656818019976154;WALK,TRANSIT;3334.0;1774.0;2.0;"[{""mode"": ""BUS"", ""route"": ""487"", ""agencyName"": ""RATP""}, {""mode"": ""BUS"", ""route"": ""399"", ""agencyName"": ""RATP""}, {""mode"": ""BUS"", ""route"": ""486"", ""agencyName"": ""RATP""}]"
1;"{""lat"": 48.726033, ""lon"": 2.425854, ""zipcode"": 94480, ""commune"": ""ABLON SUR SEINE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.70967, ""lon"": 2.352844, ""zipcode"": 77240, ""commune"": ""CESSON"", ""departement"": ""SEINE-ET-MARNE""}";5.656818019976154;CAR;3502.0;0.0;0.0;[]
2;"{""lat"": 48.989001, ""lon"": 2.22563, ""zipcode"": 95130, ""commune"": ""FRANCONVILLE"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.963119, ""lon"": 2.562747, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";24.77237106518797;WALK,TRANSIT;6781.0;2807.0;4.0;"[{""mode"": ""RAIL"", ""route"": ""C"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""15"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""16"", ""agencyName"": ""METRO""}, {""mode"": ""BUS"", ""route"": ""100"", ""agencyName"": ""KMR""}, {""mode"": ""BUS"", ""route"": ""619"", ""agencyName"": ""Seine-Saint-Denis""}]"
3;"{""lat"": 48.989001, ""lon"": 2.22563, ""zipcode"": 95130, ""commune"": ""FRANCONVILLE"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.963119, ""lon"": 2.562747, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";24.77237106518797;CAR;3026.0;0.0;0.0;[]
4;"{""lat"": 48.819548, ""lon"": 2.43888, ""zipcode"": 75012, ""commune"": ""PARIS 12"", ""departement"": ""PARIS""}";"{""lat"": 48.943643, ""lon"": 2.102372, ""zipcode"": 78100, ""commune"": ""ST GERMAIN EN LAYE"", ""departement"": ""YVELINES""}";28.211578539234345;WALK,TRANSIT;6100.0;1680.0;1.0;"[{""mode"": ""BUS"", ""route"": ""77"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}]"
5;"{""lat"": 48.819548, ""lon"": 2.43888, ""zipcode"": 75012, ""commune"": ""PARIS 12"", ""departement"": ""PARIS""}";"{""lat"": 48.943643, ""lon"": 2.102372, ""zipcode"": 78100, ""commune"": ""ST GERMAIN EN LAYE"", ""departement"": ""YVELINES""}";28.211578539234345;CAR;6975.099999999999;0.0;0.0;[]
6;"{""lat"": 48.847823, ""lon"": 2.575918, ""zipcode"": 93160, ""commune"": ""NOISY LE GRAND"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.740238, ""lon"": 2.181706, ""zipcode"": 91400, ""commune"": ""ORSAY"", ""departement"": ""ESSONE""}";31.256527424591876;WALK,TRANSIT;6729.0;2968.0;3.0;"[{""mode"": ""SUBWAY"", ""route"": ""15"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""14"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""18"", ""agencyName"": ""METRO""}, {""mode"": ""BUS"", ""route"": ""9"", ""agencyName"": ""Cars D'Orsay""}]"
7;"{""lat"": 48.847823, ""lon"": 2.575918, ""zipcode"": 93160, ""commune"": ""NOISY LE GRAND"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.740238, ""lon"": 2.181706, ""zipcode"": 91400, ""commune"": ""ORSAY"", ""departement"": ""ESSONE""}";31.256527424591876;CAR;3864.1;0.0;0.0;[]
8;"{""lat"": 48.782309, ""lon"": 2.190531, ""zipcode"": 78140, ""commune"": ""VELIZY VILLACOUBLAY"", ""departement"": ""YVELINES""}";"{""lat"": 48.720788, ""lon"": 2.493697, ""zipcode"": 91330, ""commune"": ""YERRES"", ""departement"": ""ESSONE""}";23.255111509500953;WALK,TRANSIT;7036.0;1362.0;4.0;"[{""mode"": ""TRAM"", ""route"": ""Ch\u00e2tillon Montrouge - Gare de Viroflay Rive Droite"", ""agencyName"": ""TRAMWAY""}, {""mode"": ""RAIL"", ""route"": ""C"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""D"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""B"", ""agencyName"": ""STRAV""}]"
9;"{""lat"": 48.782309, ""lon"": 2.190531, ""zipcode"": 78140, ""commune"": ""VELIZY VILLACOUBLAY"", ""departement"": ""YVELINES""}";"{""lat"": 48.720788, ""lon"": 2.493697, ""zipcode"": 91330, ""commune"": ""YERRES"", ""departement"": ""ESSONE""}";23.255111509500953;CAR;4583.2;0.0;0.0;[]
10;"{""lat"": 48.759455, ""lon"": 2.420124, ""zipcode"": 94600, ""commune"": ""CHOISY LE ROI"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.723814, ""lon"": 2.56474, ""zipcode"": 94440, ""commune"": ""MAROLLES EN BRIE"", ""departement"": ""VAL-DE-MARNE""}";11.320768197923185;WALK,TRANSIT;3790.0;983.0;2.0;"[{""mode"": ""BUS"", ""route"": ""A"", ""agencyName"": ""VyBus""}, {""mode"": ""BUS"", ""route"": ""J2"", ""agencyName"": ""STRAV""}, {""mode"": ""BUS"", ""route"": ""21"", ""agencyName"": ""Arlequin""}]"
11;"{""lat"": 48.759455, ""lon"": 2.420124, ""zipcode"": 94600, ""commune"": ""CHOISY LE ROI"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.723814, ""lon"": 2.56474, ""zipcode"": 94440, ""commune"": ""MAROLLES EN BRIE"", ""departement"": ""VAL-DE-MARNE""}";11.320768197923185;CAR;3202.7999999999997;0.0;0.0;[]
12;"{""lat"": 48.971868, ""lon"": 2.255054, ""zipcode"": 95110, ""commune"": ""SANNOIS"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 49.010435, ""lon"": 2.316478, ""zipcode"": 95160, ""commune"": ""MONTMORENCY"", ""departement"": ""VAL-D'OISE""}";6.202943338262612;WALK,TRANSIT;3860.0;1803.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""J"", ""agencyName"": ""TRAIN""}, {""mode"": ""BUS"", ""route"": ""12"", ""agencyName"": ""Valmy""}]"
13;"{""lat"": 48.971868, ""lon"": 2.255054, ""zipcode"": 95110, ""commune"": ""SANNOIS"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 49.010435, ""lon"": 2.316478, ""zipcode"": 95160, ""commune"": ""MONTMORENCY"", ""departement"": ""VAL-D'OISE""}";6.202943338262612;CAR;3054.9;0.0;0.0;[]
14;"{""lat"": 48.811504, ""lon"": 2.567495, ""zipcode"": 94500, ""commune"": ""CHAMPIGNY SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.721548, ""lon"": 2.262959, ""zipcode"": 91300, ""commune"": ""MASSY"", ""departement"": ""ESSONE""}";24.45881828358841;WALK,TRANSIT;4959.0;548.0;2.0;"[{""mode"": ""BUS"", ""route"": ""206"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}]"
15;"{""lat"": 48.811504, ""lon"": 2.567495, ""zipcode"": 94500, ""commune"": ""CHAMPIGNY SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.721548, ""lon"": 2.262959, ""zipcode"": 91300, ""commune"": ""MASSY"", ""departement"": ""ESSONE""}";24.45881828358841;CAR;4423.4;0.0;0.0;[]
16;"{""lat"": 48.776249, ""lon"": 2.344133, ""zipcode"": 94240, ""commune"": ""L HAY LES ROSES"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.817064, ""lon"": 2.319864, ""zipcode"": 92120, ""commune"": ""MONTROUGE"", ""departement"": ""HAUTS-DE-SEINE""}";4.874146813545836;CAR;2048.5;0.0;0.0;[]
17;"{""lat"": 48.725384, ""lon"": 2.214582, ""zipcode"": 91120, ""commune"": ""PALAISEAU"", ""departement"": ""ESSONE""}";"{""lat"": 48.856099, ""lon"": 2.382235, ""zipcode"": 75011, ""commune"": ""PARIS 11"", ""departement"": ""PARIS""}";19.02894036826611;WALK,TRANSIT;4666.0;1186.0;3.0;"[{""mode"": ""BUS"", ""route"": ""1"", ""agencyName"": ""Cars D'Orsay""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""9"", ""agencyName"": ""METRO""}]"
18;"{""lat"": 48.725384, ""lon"": 2.214582, ""zipcode"": 91120, ""commune"": ""PALAISEAU"", ""departement"": ""ESSONE""}";"{""lat"": 48.856099, ""lon"": 2.382235, ""zipcode"": 75011, ""commune"": ""PARIS 11"", ""departement"": ""PARIS""}";19.02894036826611;CAR;3825.0;0.0;0.0;[]
19;"{""lat"": 48.988224, ""lon"": 2.373196, ""zipcode"": 95200, ""commune"": ""SARCELLES"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.78471, ""lon"": 2.401566, ""zipcode"": 94400, ""commune"": ""VITRY SUR SEINE"", ""departement"": ""VAL-DE-MARNE""}";22.724594436697288;WALK,TRANSIT;4678.0;1521.0;2.0;"[{""mode"": ""BUS"", ""route"": ""268"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""D"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""15"", ""agencyName"": ""METRO""}]"
20;"{""lat"": 48.988224, ""lon"": 2.373196, ""zipcode"": 95200, ""commune"": ""SARCELLES"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.78471, ""lon"": 2.401566, ""zipcode"": 94400, ""commune"": ""VITRY SUR SEINE"", ""departement"": ""VAL-DE-MARNE""}";22.724594436697288;CAR;4683.5;0.0;0.0;[]
21;"{""lat"": 48.801487, ""lon"": 2.074178, ""zipcode"": 78210, ""commune"": ""ST CYR L ECOLE"", ""departement"": ""YVELINES""}";"{""lat"": 48.797833, ""lon"": 2.07985, ""zipcode"": 78000, ""commune"": ""VERSAILLES"", ""departement"": ""YVELINES""}";0.5810958804281373;WALK,TRANSIT;704.0;704.0;0.0;[]
22;"{""lat"": 48.801487, ""lon"": 2.074178, ""zipcode"": 78210, ""commune"": ""ST CYR L ECOLE"", ""departement"": ""YVELINES""}";"{""lat"": 48.797833, ""lon"": 2.07985, ""zipcode"": 78000, ""commune"": ""VERSAILLES"", ""departement"": ""YVELINES""}";0.5810958804281373;CAR;586.5;0.0;0.0;[]
23;"{""lat"": 48.718128, ""lon"": 2.190497, ""zipcode"": 91400, ""commune"": ""ORSAY"", ""departement"": ""ESSONE""}";"{""lat"": 48.957981, ""lon"": 2.498394, ""zipcode"": 93600, ""commune"": ""AULNAY SOUS BOIS"", ""departement"": ""SEINE-SAINT-DENIS""}";34.91556034151083;WALK,TRANSIT;6591.0;1470.0;4.0;"[{""mode"": ""BUS"", ""route"": ""EXPRESS 91-06"", ""agencyName"": ""Albatrans""}, {""mode"": ""SUBWAY"", ""route"": ""18"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""14"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""16"", ""agencyName"": ""METRO""}, {""mode"": ""BUS"", ""route"": ""609"", ""agencyName"": ""Seine-Saint-Denis""}]"
24;"{""lat"": 48.718128, ""lon"": 2.190497, ""zipcode"": 91400, ""commune"": ""ORSAY"", ""departement"": ""ESSONE""}";"{""lat"": 48.957981, ""lon"": 2.498394, ""zipcode"": 93600, ""commune"": ""AULNAY SOUS BOIS"", ""departement"": ""SEINE-SAINT-DENIS""}";34.91556034151083;CAR;4777.0;0.0;0.0;[]
25;"{""lat"": 48.794504, ""lon"": 2.278409, ""zipcode"": 92260, ""commune"": ""FONTENAY AUX ROSES"", ""departement"": ""HAUTS-DE-SEINE""}";"{""lat"": 48.915324, ""lon"": 2.35749, ""zipcode"": 93210, ""commune"": ""ST DENIS"", ""departement"": ""SEINE-SAINT-DENIS""}";14.627470193583104;WALK,TRANSIT;3671.0;1751.0;0.0;"[{""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}]"
26;"{""lat"": 48.794504, ""lon"": 2.278409, ""zipcode"": 92260, ""commune"": ""FONTENAY AUX ROSES"", ""departement"": ""HAUTS-DE-SEINE""}";"{""lat"": 48.915324, ""lon"": 2.35749, ""zipcode"": 93210, ""commune"": ""ST DENIS"", ""departement"": ""SEINE-SAINT-DENIS""}";14.627470193583104;CAR;4374.099999999999;0.0;0.0;[]
27;"{""lat"": 48.729681, ""lon"": 2.189866, ""zipcode"": 91400, ""commune"": ""ORSAY"", ""departement"": ""ESSONE""}";"{""lat"": 49.017273, ""lon"": 2.476343, ""zipcode"": 95190, ""commune"": ""GOUSSAINVILLE"", ""departement"": ""VAL-D'OISE""}";38.230992507149374;WALK,TRANSIT;8287.0;2007.0;3.0;"[{""mode"": ""BUS"", ""route"": ""9"", ""agencyName"": ""Cars D'Orsay""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""D"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""32"", ""agencyName"": ""CIF""}]"
28;"{""lat"": 48.729681, ""lon"": 2.189866, ""zipcode"": 91400, ""commune"": ""ORSAY"", ""departement"": ""ESSONE""}";"{""lat"": 49.017273, ""lon"": 2.476343, ""zipcode"": 95190, ""commune"": ""GOUSSAINVILLE"", ""departement"": ""VAL-D'OISE""}";38.230992507149374;CAR;5501.2;0.0;0.0;[]
29;"{""lat"": 48.763182, ""lon"": 2.415045, ""zipcode"": 94600, ""commune"": ""CHOISY LE ROI"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.804692, ""lon"": 2.552979, ""zipcode"": 94500, ""commune"": ""CHAMPIGNY SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";11.11010188223681;WALK,TRANSIT;3799.0;1320.0;3.0;"[{""mode"": ""BUS"", ""route"": ""182"", ""agencyName"": ""RATP""}, {""mode"": ""SUBWAY"", ""route"": ""15"", ""agencyName"": ""METRO""}, {""mode"": ""BUS"", ""route"": ""110"", ""agencyName"": ""RATP""}, {""mode"": ""BUS"", ""route"": ""208B"", ""agencyName"": ""RATP""}]"
30;"{""lat"": 48.763182, ""lon"": 2.415045, ""zipcode"": 94600, ""commune"": ""CHOISY LE ROI"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.804692, ""lon"": 2.552979, ""zipcode"": 94500, ""commune"": ""CHAMPIGNY SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";11.11010188223681;CAR;3347.2999999999997;0.0;0.0;[]
31;"{""lat"": 48.898646, ""lon"": 2.517918, ""zipcode"": 93340, ""commune"": ""LE RAINCY"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.814208, ""lon"": 2.115074, ""zipcode"": 78000, ""commune"": ""VERSAILLES"", ""departement"": ""YVELINES""}";30.93164150836083;WALK,TRANSIT;5754.0;1924.0;3.0;"[{""mode"": ""BUS"", ""route"": ""602"", ""agencyName"": ""Seine-Saint-Denis""}, {""mode"": ""RAIL"", ""route"": ""E"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""L"", ""agencyName"": ""TRAIN""}]"
32;"{""lat"": 48.898646, ""lon"": 2.517918, ""zipcode"": 93340, ""commune"": ""LE RAINCY"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.814208, ""lon"": 2.115074, ""zipcode"": 78000, ""commune"": ""VERSAILLES"", ""departement"": ""YVELINES""}";30.93164150836083;CAR;5066.0;0.0;0.0;[]
33;"{""lat"": 48.841334, ""lon"": 2.28426, ""zipcode"": 75015, ""commune"": ""PARIS 15"", ""departement"": ""PARIS""}";"{""lat"": 48.871523, ""lon"": 2.442352, ""zipcode"": 93100, ""commune"": ""MONTREUIL"", ""departement"": ""SEINE-SAINT-DENIS""}";12.043374725368176;WALK,TRANSIT;3827.0;1444.0;1.0;"[{""mode"": ""SUBWAY"", ""route"": ""8"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""9"", ""agencyName"": ""METRO""}]"
34;"{""lat"": 48.841334, ""lon"": 2.28426, ""zipcode"": 75015, ""commune"": ""PARIS 15"", ""departement"": ""PARIS""}";"{""lat"": 48.871523, ""lon"": 2.442352, ""zipcode"": 93100, ""commune"": ""MONTREUIL"", ""departement"": ""SEINE-SAINT-DENIS""}";12.043374725368176;CAR;2534.7;0.0;0.0;[]
35;"{""lat"": 48.823275, ""lon"": 2.4069, ""zipcode"": 94220, ""commune"": ""CHARENTON LE PONT"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.813348, ""lon"": 2.334868, ""zipcode"": 94110, ""commune"": ""ARCUEIL"", ""departement"": ""VAL-DE-MARNE""}";5.388186128019439;WALK,TRANSIT;2810.0;1208.0;2.0;"[{""mode"": ""BUS"", ""route"": ""109"", ""agencyName"": ""RATP""}, {""mode"": ""SUBWAY"", ""route"": ""14"", ""agencyName"": ""METRO""}, {""mode"": ""BUS"", ""route"": ""57"", ""agencyName"": ""RATP""}]"
36;"{""lat"": 48.823275, ""lon"": 2.4069, ""zipcode"": 94220, ""commune"": ""CHARENTON LE PONT"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.813348, ""lon"": 2.334868, ""zipcode"": 94110, ""commune"": ""ARCUEIL"", ""departement"": ""VAL-DE-MARNE""}";5.388186128019439;CAR;1839.3999999999999;0.0;0.0;[]
37;"{""lat"": 48.945337, ""lon"": 2.400202, ""zipcode"": 93120, ""commune"": ""LA COURNEUVE"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.992541, ""lon"": 2.376084, ""zipcode"": 95200, ""commune"": ""SARCELLES"", ""departement"": ""VAL-D'OISE""}";5.536225372545312;WALK,TRANSIT;3033.0;1782.0;1.0;"[{""mode"": ""TRAM"", ""route"": ""GARE D\\'EPINAY SUR SEINE - Gare du Bourget"", ""agencyName"": ""TRAIN""}, {""mode"": ""RAIL"", ""route"": ""H"", ""agencyName"": ""TRAIN""}]"
38;"{""lat"": 49.019122, ""lon"": 2.156223, ""zipcode"": 95480, ""commune"": ""PIERRELAYE"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.978426, ""lon"": 2.176261, ""zipcode"": 95530, ""commune"": ""LA FRETTE SUR SEINE"", ""departement"": ""VAL-D'OISE""}";4.755443303602438;WALK,TRANSIT;2822.0;1274.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""C"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""30-05"", ""agencyName"": ""Parisis""}]"
39;"{""lat"": 49.019122, ""lon"": 2.156223, ""zipcode"": 95480, ""commune"": ""PIERRELAYE"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.978426, ""lon"": 2.176261, ""zipcode"": 95530, ""commune"": ""LA FRETTE SUR SEINE"", ""departement"": ""VAL-D'OISE""}";4.755443303602438;CAR;1764.6;0.0;0.0;[]
40;"{""lat"": 48.989474, ""lon"": 2.123598, ""zipcode"": 78260, ""commune"": ""ACHERES"", ""departement"": ""YVELINES""}";"{""lat"": 48.733283, ""lon"": 2.506007, ""zipcode"": 91330, ""commune"": ""YERRES"", ""departement"": ""ESSONE""}";39.92592743237628;CAR;7185.9;0.0;0.0;[]
41;"{""lat"": 48.86236, ""lon"": 2.426444, ""zipcode"": 93100, ""commune"": ""MONTREUIL"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.8263, ""lon"": 2.380287, ""zipcode"": 75013, ""commune"": ""PARIS 13"", ""departement"": ""PARIS""}";5.242743504940745;CAR;1898.8999999999999;0.0;0.0;[]
42;"{""lat"": 48.736291, ""lon"": 2.387469, ""zipcode"": 94310, ""commune"": ""ORLY"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 49.000798, ""lon"": 2.180263, ""zipcode"": 95220, ""commune"": ""PIERRELAYE"", ""departement"": ""VAL-D'OISE""}";33.086959601874504;WALK,TRANSIT;6966.0;1306.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""C"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""95-21"", ""agencyName"": ""Valoise""}]"
43;"{""lat"": 48.736291, ""lon"": 2.387469, ""zipcode"": 94310, ""commune"": ""ORLY"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 49.000798, ""lon"": 2.180263, ""zipcode"": 95220, ""commune"": ""PIERRELAYE"", ""departement"": ""VAL-D'OISE""}";33.086959601874504;CAR;4668.2;0.0;0.0;[]
44;"{""lat"": 48.765103, ""lon"": 2.589456, ""zipcode"": 94510, ""commune"": ""LA QUEUE EN BRIE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.714854, ""lon"": 2.187369, ""zipcode"": 91400, ""commune"": ""ORSAY"", ""departement"": ""ESSONE""}";30.00995305846046;WALK,TRANSIT;7990.0;3144.0;3.0;"[{""mode"": ""BUS"", ""route"": ""7"", ""agencyName"": ""SITUS""}, {""mode"": ""SUBWAY"", ""route"": ""15"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""14"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""18"", ""agencyName"": ""METRO""}]"
45;"{""lat"": 48.824749, ""lon"": 2.583522, ""zipcode"": 93160, ""commune"": ""NOISY LE GRAND"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.807017, ""lon"": 2.351569, ""zipcode"": 94270, ""commune"": ""LE KREMLIN BICETRE"", ""departement"": ""VAL-DE-MARNE""}";17.097599272582233;WALK,TRANSIT;3181.0;960.0;2.0;"[{""mode"": ""BUS"", ""route"": ""320"", ""agencyName"": ""RATP""}, {""mode"": ""SUBWAY"", ""route"": ""15"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""14"", ""agencyName"": ""METRO""}]"
46;"{""lat"": 48.824749, ""lon"": 2.583522, ""zipcode"": 93160, ""commune"": ""NOISY LE GRAND"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.807017, ""lon"": 2.351569, ""zipcode"": 94270, ""commune"": ""LE KREMLIN BICETRE"", ""departement"": ""VAL-DE-MARNE""}";17.097599272582233;CAR;2856.0;0.0;0.0;[]
47;"{""lat"": 48.769972, ""lon"": 2.311658, ""zipcode"": 92160, ""commune"": ""ANTONY"", ""departement"": ""HAUTS-DE-SEINE""}";"{""lat"": 48.915074, ""lon"": 2.398778, ""zipcode"": 93300, ""commune"": ""AUBERVILLIERS"", ""departement"": ""SEINE-SAINT-DENIS""}";17.348560916096993;WALK,TRANSIT;3224.0;871.0;2.0;"[{""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""249"", ""agencyName"": ""RATP""}]"
48;"{""lat"": 48.769972, ""lon"": 2.311658, ""zipcode"": 92160, ""commune"": ""ANTONY"", ""departement"": ""HAUTS-DE-SEINE""}";"{""lat"": 48.915074, ""lon"": 2.398778, ""zipcode"": 93300, ""commune"": ""AUBERVILLIERS"", ""departement"": ""SEINE-SAINT-DENIS""}";17.348560916096993;CAR;3799.5;0.0;0.0;[]
49;"{""lat"": 48.710499, ""lon"": 2.280072, ""zipcode"": 91160, ""commune"": ""BALLAINVILLIERS"", ""departement"": ""ESSONE""}";"{""lat"": 48.734462, ""lon"": 2.508673, ""zipcode"": 94440, ""commune"": ""MAROLLES EN BRIE"", ""departement"": ""VAL-DE-MARNE""}";16.979634989693196;WALK,TRANSIT;6706.0;2081.0;4.0;"[{""mode"": ""BUS"", ""route"": ""199"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""15"", ""agencyName"": ""METRO""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""5"", ""agencyName"": ""SITUS""}]"
50;"{""lat"": 48.710499, ""lon"": 2.280072, ""zipcode"": 91160, ""commune"": ""BALLAINVILLIERS"", ""departement"": ""ESSONE""}";"{""lat"": 48.734462, ""lon"": 2.508673, ""zipcode"": 94440, ""commune"": ""MAROLLES EN BRIE"", ""departement"": ""VAL-DE-MARNE""}";16.979634989693196;CAR;3442.5;0.0;0.0;[]
51;"{""lat"": 48.959234, ""lon"": 2.493622, ""zipcode"": 93600, ""commune"": ""AULNAY SOUS BOIS"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.777502, ""lon"": 2.096063, ""zipcode"": 78280, ""commune"": ""GUYANCOURT"", ""departement"": ""YVELINES""}";35.410649093411834;WALK,TRANSIT;6350.0;1271.0;4.0;"[{""mode"": ""BUS"", ""route"": ""609"", ""agencyName"": ""Seine-Saint-Denis""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""6"", ""agencyName"": ""METRO""}, {""mode"": ""RAIL"", ""route"": ""N"", ""agencyName"": ""TRAIN""}, {""mode"": ""BUS"", ""route"": ""Express 307 V\u00e9lizy - Montigny-le-Bretonneux"", ""agencyName"": ""SAVAC""}]"
52;"{""lat"": 48.959234, ""lon"": 2.493622, ""zipcode"": 93600, ""commune"": ""AULNAY SOUS BOIS"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.777502, ""lon"": 2.096063, ""zipcode"": 78280, ""commune"": ""GUYANCOURT"", ""departement"": ""YVELINES""}";35.410649093411834;CAR;5244.5;0.0;0.0;[]
53;"{""lat"": 48.765541, ""lon"": 2.545852, ""zipcode"": 94880, ""commune"": ""NOISEAU"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.846145, ""lon"": 2.420567, ""zipcode"": 94160, ""commune"": ""ST MANDE"", ""departement"": ""VAL-DE-MARNE""}";12.82632717090606;WALK,TRANSIT;3398.0;1772.0;1.0;"[{""mode"": ""BUS"", ""route"": ""1"", ""agencyName"": ""SITUS""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}]"
54;"{""lat"": 48.765541, ""lon"": 2.545852, ""zipcode"": 94880, ""commune"": ""NOISEAU"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.846145, ""lon"": 2.420567, ""zipcode"": 94160, ""commune"": ""ST MANDE"", ""departement"": ""VAL-DE-MARNE""}";12.82632717090606;CAR;3000.5;0.0;0.0;[]
